Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,76.46, 0.43,Top,180.0
C1,17.73,45.29,Top,270.0
C2, 5.64,11.88,Top,90.0
C3,15.72,44.35,Top,90.0
C4,55.34,21.26,Top,180.0
C5,51.79,21.26,Top,0.0
C6,12.19,21.16,Top,180.0
C7,70.38,20.85,Top,180.0
C8,55.04,34.75,Top,0.0
C9,48.44,41.45,Top,270.0
C10,55.04,32.72,Top,0.0
C11, 7.52,12.41,Top,270.0
C12,23.42, 1.89,Top,270.0
C13,59.48,31.90,Top,180.0
C14,60.96,37.26,Top,270.0
C15,69.22,51.65,Top,270.0
CHRG,65.30,25.93,Top,0.0
D1,69.87,37.21,Top,90.0
D2,52.73,10.92,Top,180.0
ESP32,29.77,42.14,Top,270.0
F1,64.11,10.72,Top,270.0
IC1,54.81,39.52,Top,0.0
J1,61.37,49.91,Top,90.0
LDO,53.57,24.56,Top,0.0
Q1,53.16,46.08,Top,90.0
Q2, 6.78,28.80,Top,0.0
R1,55.34,46.11,Top,270.0
R2,12.19,19.13,Top,0.0
R3,51.00,46.06,Top,90.0
R4,47.42,38.13,Top,0.0
R5,47.42,39.17,Top,0.0
R6, 8.58,25.60,Top,180.0
R7, 6.37,19.93,Top,180.0
R8,27.48, 1.89,Top,270.0
R9,25.45, 1.89,Top,90.0
R10,67.08,25.93,Top,90.0
R11,70.38,26.44,Top,0.0
R12,70.86,51.99,Top,270.0
RESET,54.71, 3.33,Top,90.0
S1,64.11, 3.87,Top,0.0
SJ1,30.30, 2.73,Top,0.0
SJ2,20.62, 2.73,Top,180.0
T1, 6.75,22.45,Top,0.0
U1,70.38,23.65,Top,180.0
X1,59.43,34.01,Top,90.0
