Designator,Mid X,Mid Y,Layer,Rotation
ADC_IO34,20.12, 2.73,Top,180.0
BATTERY,79.00,14.00,Top,270.0
C1,17.73,45.29,Top,270.0
C2, 5.64,11.88,Top,90.0
C3,15.70,45.29,Top,270.0
C4,55.34,21.26,Top,180.0
C5,51.79,21.26,Top,0.0
C6,12.19,21.16,Top,180.0
C7,70.38,20.85,Top,180.0
C11, 7.52,12.41,Top,270.0
C12,23.42, 1.89,Top,270.0
C15,80.02,44.05,Top,270.0
C16,57.53,35.48,Top,0.0
C17,58.65,37.31,Top,0.0
CHRG,65.30,25.93,Top,0.0
D1,75.97,41.91,Top,90.0
D2,52.73,10.92,Top,180.0
D3,58.04,17.60,Top,270.0
ESP32,29.77,42.14,Top,270.0
F1,59.23,21.26,Top,0.0
IC2,53.54,24.56,Top,180.0
IC3,54.41,38.61,Top,90.0
J1,73.10,48.34,Top,180.0
Q1,53.16,44.56,Top,0.0
Q2, 6.78,28.80,Top,90.0
Q3,61.29,17.60,Top,180.0
R1,55.34,44.58,Top,270.0
R2,12.19,19.13,Top,0.0
R3,51.00,44.53,Top,90.0
R6, 8.58,25.60,Top,180.0
R7, 6.37,19.93,Top,180.0
R8,27.48, 1.89,Top,270.0
R9,25.45, 1.89,Top,90.0
R10,67.08,25.93,Top,90.0
R11,70.38,26.44,Top,0.0
R12,81.86,44.29,Top,270.0
R13,73.53,43.59,Top,90.0
R14,72.49,43.59,Top,90.0
R15,63.83,18.21,Top,270.0
R16,62.23,20.85,Top,90.0
RESET,54.71, 3.33,Top,90.0
S1,64.11, 3.87,Top,0.0
T1, 6.75,22.45,Top,90.0
U1,70.38,23.65,Top,0.0
